Promotion Seen,Timestamp
FollowingFeedDoradoCooldownSix,1678353006
FollowingFeedDoradoCooldownSix,1678273751
FollowingFeedDoradoCooldownSix,1678202308
FollowingFeedDoradoCooldownSix,1678202307
FollowingFeedDoradoCooldownSix,1678060948
FollowingFeedDoradoCooldownSix,1678058829
FollowingFeedDoradoCooldownSix,1678058604
FollowingFeedDoradoCooldownSix,1678058603
FollowingFeedDoradoCooldownSix,1678039034
FollowingFeedDoradoCooldownSix,1677684410
FollowingFeedDoradoCooldownSix,1677666310
FollowingFeedDoradoCooldownSix,1677666309
FollowingFeedDoradoCooldownSix,1677610518
FollowingFeedDoradoCooldownSix,1677610496
FollowingFeedDoradoCooldownSix,1677610495
NewDecember2022Sports,1671553210
NewDecember2022Sports,1671552475
NewDecember2022Sports,1671207864
Yis2022Experience,1671213532
NycmActivitySuggestion,1668001965
NycmActivitySuggestion,1668000322
NycmActivitySuggestion,1668000321
NycmActivitySuggestion,1668000138
UtmbActivitySuggestion,1661718965
UtmbActivitySuggestion,1661718962
UtmbActivitySuggestion,1661718960
UtmbActivitySuggestion,1661717154
UtmbActivitySuggestion,1661477062
UtmbActivitySuggestion,1661476784
UtmbActivitySuggestion,1661474738
UtmbActivitySuggestion,1661321173
UtmbActivitySuggestion,1661321152
UtmbActivitySuggestion,1661321151
UtmbActivitySuggestion,1661320649
FollowModeCoachmark,1662011048
CommentNotificationCoachmark,1660422825
FollowingFeedDoradoCooldown,1677139783
FollowingFeedDoradoCooldown,1677139782
FollowingFeedDoradoCooldown,1677020718
FollowingFeedDoradoCooldown,1677020717
FollowingFeedDoradoCooldown,1677020414
FollowingFeedDoradoCooldown,1677020413
FollowingFeedDoradoCooldown,1677000838
FollowingFeedDoradoCooldown,1676894986
FollowingFeedDoradoCooldown,1676894985
FollowingFeedDoradoCooldown,1676894983
FollowingFeedDoradoCooldown,1676894982
FollowingFeedDoradoCooldown,1676893425
FollowingFeedDoradoCooldown,1676845422
FollowingFeedDoradoCooldown,1676845379
